arm,dialogue_id,opening_tag,is_reversal,reversal_type,true,pred,correct
last-turn-removed,REV_085,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_113,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_115,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_097,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_012,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_258,committed,False,none,yes,yes,True
last-turn-removed,REV_093,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_082,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_035,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_209,resistant,False,none,no,no,True
last-turn-removed,REV_127,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_062,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_041,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_101,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_033,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_092,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_037,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_084,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_119,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_034,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_243,committed,False,none,yes,yes,True
last-turn-removed,REV_104,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_007,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_063,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_251,committed,False,none,yes,yes,True
last-turn-removed,REV_235,resistant,False,none,no,no,True
last-turn-removed,REV_263,committed,False,none,yes,yes,True
last-turn-removed,REV_102,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_028,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_048,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_085,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_113,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_115,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_097,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_012,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_258,committed,False,none,yes,yes,True
first-half-only,REV_093,committed,True,commit_to_rejection,no,yes,False
first-half-only,REV_082,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_035,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_209,resistant,False,none,no,no,True
first-half-only,REV_127,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_062,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_041,resistant,True,resistance_to_agreement,yes,no,False
first-half-only,REV_101,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_033,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_092,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_037,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_084,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_119,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_034,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_243,committed,False,none,yes,no,False
first-half-only,REV_104,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_007,resistant,True,resistance_to_agreement,yes,no,False
first-half-only,REV_063,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_251,committed,False,none,yes,yes,True
first-half-only,REV_235,resistant,False,none,no,no,True
first-half-only,REV_263,committed,False,none,yes,yes,True
first-half-only,REV_102,committed,True,commit_to_rejection,no,no,True
first-half-only,REV_028,resistant,True,resistance_to_agreement,yes,yes,True
first-half-only,REV_048,resistant,True,resistance_to_agreement,yes,yes,True
