dialogue_id,reversal_type,reversal_turn_id,opening_tag,true_label,predicted_label,prob_yes,flipped_to_pre_reversal_label
REV_085,commit_to_rejection,17.0,committed,no,no,0.0175,False
REV_113,commit_to_rejection,11.0,committed,no,no,0.0043,False
REV_115,commit_to_rejection,7.0,committed,no,no,0.0056,False
REV_097,commit_to_rejection,11.0,committed,no,no,0.0037,False
REV_012,resistance_to_agreement,5.0,resistant,yes,yes,0.9936,False
REV_093,commit_to_rejection,7.0,committed,no,no,0.0682,False
REV_082,commit_to_rejection,13.0,committed,no,no,0.0048,False
REV_035,resistance_to_agreement,9.0,resistant,yes,yes,0.9933,False
REV_127,commit_to_rejection,17.0,committed,no,no,0.0053,False
REV_062,resistance_to_agreement,11.0,resistant,yes,yes,0.994,False
REV_041,resistance_to_agreement,11.0,resistant,yes,yes,0.9959,False
REV_101,commit_to_rejection,9.0,committed,no,no,0.0035,False
REV_033,resistance_to_agreement,11.0,resistant,yes,yes,0.997,False
REV_092,commit_to_rejection,7.0,committed,no,no,0.006,False
REV_037,resistance_to_agreement,11.0,resistant,yes,yes,0.997,False
REV_084,commit_to_rejection,9.0,committed,no,no,0.0036,False
REV_119,commit_to_rejection,9.0,committed,no,no,0.0209,False
REV_034,resistance_to_agreement,11.0,resistant,yes,yes,0.9976,False
REV_104,commit_to_rejection,9.0,committed,no,no,0.0039,False
REV_007,resistance_to_agreement,5.0,resistant,yes,yes,0.9965,False
REV_063,resistance_to_agreement,7.0,resistant,yes,yes,0.9966,False
REV_102,commit_to_rejection,9.0,committed,no,no,0.0052,False
REV_028,resistance_to_agreement,9.0,resistant,yes,yes,0.9984,False
REV_048,resistance_to_agreement,11.0,resistant,yes,yes,0.9957,False
