arm,dialogue_id,opening_tag,is_reversal,reversal_type,true,pred,correct
last-turn-removed,ENG_496,,False,,no,no,True
last-turn-removed,REV_219,resistant,False,none,no,no,True
last-turn-removed,REV_245,committed,False,none,yes,yes,True
last-turn-removed,ENG_323,,False,,yes,yes,True
last-turn-removed,REV_255,committed,False,none,yes,yes,True
last-turn-removed,ENG_378,,False,,yes,yes,True
last-turn-removed,ENG_344,,False,,yes,yes,True
last-turn-removed,ENG_329,,False,,yes,yes,True
last-turn-removed,REV_253,committed,False,none,yes,yes,True
last-turn-removed,ENG_013,,False,,no,yes,False
last-turn-removed,ENG_267,,False,,yes,yes,True
last-turn-removed,REV_048,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,ENG_184,,False,,no,no,True
last-turn-removed,ENG_038,,False,,no,no,True
last-turn-removed,ENG_067,,False,,no,no,True
last-turn-removed,REV_037,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,ENG_278,,False,,yes,yes,True
last-turn-removed,ENG_336,,False,,yes,yes,True
last-turn-removed,ENG_307,,False,,no,no,True
last-turn-removed,ENG_160,,False,,yes,yes,True
last-turn-removed,REV_009,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,ENG_034,,False,,no,no,True
last-turn-removed,ENG_469,,False,,yes,yes,True
last-turn-removed,ENG_269,,False,,yes,yes,True
last-turn-removed,ENG_133,,False,,yes,yes,True
last-turn-removed,REV_130,committed,True,commit_to_rejection,no,no,True
last-turn-removed,ENG_066,,False,,yes,yes,True
last-turn-removed,REV_022,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_248,committed,False,none,yes,yes,True
last-turn-removed,ENG_395,,False,,no,no,True
last-turn-removed,ENG_137,,False,,yes,yes,True
last-turn-removed,ENG_424,,False,,yes,yes,True
last-turn-removed,ENG_010,,False,,no,no,True
last-turn-removed,ENG_351,,False,,no,no,True
last-turn-removed,ENG_085,,False,,no,no,True
last-turn-removed,REV_059,resistant,True,resistance_to_agreement,yes,yes,True
last-turn-removed,REV_094,committed,True,commit_to_rejection,no,no,True
last-turn-removed,REV_226,resistant,False,none,no,no,True
last-turn-removed,REV_220,resistant,False,none,no,no,True
last-turn-removed,ENG_308,,False,,no,no,True
last-turn-removed,ENG_350,,False,,no,no,True
last-turn-removed,ENG_402,,False,,yes,yes,True
