dialogue_id,reversal_type,reversal_turn_id,opening_tag,true_label,predicted_label,prob_yes,flipped_to_pre_reversal_label
REV_048,resistance_to_agreement,11.0,resistant,yes,yes,0.9647,False
REV_037,resistance_to_agreement,11.0,resistant,yes,yes,0.9938,False
REV_009,resistance_to_agreement,5.0,resistant,yes,yes,0.9938,False
REV_130,commit_to_rejection,13.0,committed,no,no,0.0097,False
REV_022,resistance_to_agreement,5.0,resistant,yes,yes,0.9976,False
REV_059,resistance_to_agreement,11.0,resistant,yes,yes,0.9567,False
REV_094,commit_to_rejection,9.0,committed,no,no,0.016,False
REV_024,resistance_to_agreement,7.0,resistant,yes,yes,0.9934,False
REV_081,commit_to_rejection,7.0,committed,no,no,0.0047,False
REV_127,commit_to_rejection,17.0,committed,no,no,0.0067,False
REV_001,resistance_to_agreement,5.0,resistant,yes,yes,0.9859,False
REV_128,commit_to_rejection,7.0,committed,no,no,0.0047,False
REV_041,resistance_to_agreement,11.0,resistant,yes,yes,0.8922,False
REV_109,commit_to_rejection,19.0,committed,no,no,0.0211,False
REV_033,resistance_to_agreement,11.0,resistant,yes,yes,0.9882,False
REV_099,commit_to_rejection,9.0,committed,no,no,0.0031,False
REV_058,resistance_to_agreement,9.0,resistant,yes,yes,0.9556,False
REV_087,commit_to_rejection,15.0,committed,no,no,0.0109,False
REV_006,resistance_to_agreement,5.0,resistant,yes,yes,0.9831,False
REV_070,commit_to_rejection,21.0,committed,no,no,0.0789,False
