conversation_id,dialogue_id,dialogue_text,binary_label
2063,20180831-063536_532_live,"[Persuader] Good morning
 [Persuadee] Good morning 
 [Persuader] We are seeking donations for the ""Save the Children"" foundation which helps support children rights to health, education, safety
 [Persuadee] that is good job i really appreciated you and i am proud of those who do such a things 
 [Persuader] The support will be going to developing countries to also provide relief , would you be interstedin making a donation? We accept from $ .01 to $2.00. Any little will help
 [Persuadee] yes i am ready to help for humanity becouse that my duty to help them 
 [Persuader] How much would you like to donate? The minimum is $.01 and our goal is the max of $2.00
 [Persuadee] i will give you know 0.25$
 [Persuader] Thank you very much for your donation!!
 [Persuadee] you welcome as human that is my duty 
 [Persuader] You are helping many children with this donation, have a great day and THANK YOU again!!
 [Persuadee] thanks from you that get me such chance to help others 
 [Persuader] Absolutly, ever bit helps
 [Persuadee] thanks i am proud of people who do such things
 [Persuader] Save the Children would like to thank you for your donation
 [Persuadee] thanks from you to and i want from you to continue such action and never stop helping others
 [Persuader] Yes, there is much lack of support in these countries and we need to help as mucha as possible
 [Persuadee] i want for you more energy to do such things and help others when we help some one then other will help us 
 [Persuader] Yes, I agree as well, there needs to be more help from everybody
 [Persuadee] yes i am thank full from you and if i can i will help a more and more with them",yes
2083,20180831-081945_112_live,"[Persuader] Could you please donate all of your$2 to Save the Children? Hunger kills millions of children worldwide ever year.
 [Persuadee] No thank you, I understand that hunger kills millions of children world wide every year, however the CEO's of that company are multi billionaire entrepreneurs. 
 [Persuader] Save the Children has been around since 1919 qng is top rated by Charity Watch.
 [Persuadee] How much of the Save the Children money, go to children in the United States?
 [Persuader] In fiscal year 2016, on average, 86.5% of all expenditures support program services. 86.5% is an average for all of Save the Children's programs worldwide.
 [Persuadee] I don't agree with the fact that they give so much to Britians poor families, when poor families in America could use money through this charity
 [Persuader] What makes American children more needy? To be honest, not having a cell phone is hardly poverty. American children are hardly in the situation that many African children are
 [Persuadee] I feel that if America is going to be at the forefront of a charity...it should be helping our own...for instance, our veterans are highly under benefited and paid!!!! Why not give to them!!! Maybe Africa's government should do something about their needy children since this charity expects the U.S. to do something about theirs!!
 [Persuader] Why not be charitable to all? $2 is hardly a sum to argue about. 17 cents can feed child overseas. 12 kids could be fed today with that money. Hope didn't go to Starbucks today and get a $4 coffee. Now that's a corporate contribution.
 [Persuadee] No I don't spend my money at Starbucks because they don't support gun rights... For being an ambassador for this charity you are sure quick into bullying someone to give to this charity!!!
 [Persuader] I'm not being a bully. Ok, if $2 is too much, how about $1? I'm with you on gun rights BTW.
 [Persuadee] I tell you what I will feed one over sees child at .12, I take these task roles, to make money not give it away...if I wasn't living paycheck to paycheck I would not be doing them.
 [Persuader] I'm in the same boat. I need the money too. But it wouldn't hurt to give a little. MTurk doesn't exactly pay subsistence wages. 
 [Persuadee] Your right, but every little bit helps! When you have two children and have a husband that works his butt off, and you are a college student...you have to do something to fill in the gaps
 [Persuader] I'm a retiree. Let's say Social Security isn't a treasure trove either.
 [Persuadee] I know the boat your in too, I have grandparents that can barely make ends meet. With what they bring in, in social security payments. 
 [Persuader] Despite all, I will donating a dollar. I hope you do too.
 [Persuadee] I will donate .12 and I wish my grandparents would learn how to be technical on a computer, so they could earn some money to supplement their income...like you.
 [Persuader] Thanks. I appreciate it.
 [Persuadee] your welcome. better luck with your next partner.",yes
2103,20180831-211050_995_live,"[Persuader] Hello! How are you doing?
 [Persuadee] I am quite good. How about yourself? 
 [Persuader] I am doing absolutely wonderful! Do you have any children or nieces\\nephews? 
 [Persuadee] I have none of the above. Do you? 
 [Persuader] I do I just had a beautiful little baby girl. She is now 1 month old. 
 [Persuadee] That's wonderful. Congratulations. I would like to come back to that if there is enough time. What social issue are we supposed to be discussing? I don't see that information anywhere. 
 [Persuader] I was just leading into that. To be honest I could never imaging if anything happened to my daughter. And there are some non governmental organizations out there that help children like my daughter who are in trouble in developing countries. Would you like to know more about this organization?
 [Persuadee] Of course. 
 [Persuader] This organization is called Save the Children. They provide relief and help support any child in need in developing countries. They go where they are needed. Personally I think this organization is needed especially being a new father I know how vulnerable children are now. And sometimes they just need help. 
 [Persuadee] Sounds like a noble cause, for sure. People need as much help as they can raising a child, I think. 
 [Persuader] Absolutely! I can attest to that! Organizations like this primarily operate off of donations. Have ever contributed to non profit organizations?
 [Persuadee] Indeed I have. I do it as much as I can, which is admittedly not as much as I would like to. 
 [Persuader] I know what you mean! sometimes it is hard to find the extra time or money to help those that need it. 
 [Persuadee] Definitely. If I wasn't worrying about getting by so much myself, I would be able to do much more. It's very rewarding. Gives you a great feeling inside. 
 [Persuader] Would you be willing to entertain the idea of donating some or all of the 2 dollar bonus received by completing this hit?
 [Persuadee] I would prefer to keep the bonus this time, given how bad my finances are at the moment. I'm sure you understand. 
 [Persuader] I absolutely do. Even the smallest amount would go a long way in helping this organization. I was thinking of doing even .15 of my bonus to this organization. That way I still get a majority of my bonus and hopefully others will donate as well so those tiny amounts add up so something of value for Save the Children.
 [Persuadee] Well, to tel you the truth, there is another reason I don't want to do it. I like to vet charities extensively before I donate to them. As a result, I have a preferred list of charities that I give to regularly. I don't have time to properly vet this one at the moment. 
 [Persuader] That is understandable. My thought is its only .15 of my bonus and it would take more time to vet the organization then the donation is worth. Sometimes you have to go with that gut feeling and looking at my daughter sleeping right now I do not want any child to go without help that needs it. 
 [Persuadee] I'm just not interested, especially given the amount of time we spent on this hit, I think we should get more. 
 [Persuader] That is understandable. Thank you for your time and intelligent responses. Have a wonderful evening. And in the end if you feel like donating please do!",no
2124,20180831-180309_707_live,"[Persuader] Good evening. How are you doing?
 [Persuadee] I'm doing pretty good, how about yourself?
 [Persuader] Not too bad. So have you heard of the charity Save the Children?
 [Persuadee] I have, they seem to do some good work for the humanity of children in need.
 [Persuader] I'm going to donate half of this HIT to them. That's something I do from time to time when I'm asked to donate--but only for charities I trust.
 [Persuadee] I think I'll do the same. It's hard to trust some charities. I think they're in the right place though.
 [Persuader] I'm going to donate 15 cents. That's half. It sounds about right to me.
 [Persuadee] I'm going to do the same. Anything should help.
 [Persuader] Well, that's half of my HIT. I've given more, depending on the dollar amount of the HIT. I may consider going up to the full amount of the HIT. I can always make up for it with other smaller surveys.
 [Persuadee] Yeah it's easy to make it up.
 [Persuader] So, how much do you think you'll donate?
 [Persuadee] I'm thinking 15 cents.
 [Persuader] I'm going to go with the full amount of the hit. I don't know how many people do this on mTurk, but I think there's a cumulative effect that has to be, well, I hope it's something.
 [Persuadee] Yeah it has to help. Hopefully they actually use the donations for the children.
 [Persuader] I'm pretty confident the research team does the right thing. I've known a lot of graduate assistant researchers, and they're an honest bunch. 
 [Persuadee] I hope they are. The kids need it.
 [Persuader] This is another revenue stream for the charity. I've tended to give to them when asked. They don't spend too much on overhead and admin costs, like some other charities. (Yes, United Way, I'm looking at you.)
 [Persuadee] The United Way is so shady! 
 [Persuader] Yes. So you're going to do 15 cents?
 [Persuadee] Yeah I believe so.",yes
2144,20180831-191926_666_live,"[Persuader] Hi! How are you today?
 [Persuadee] good :) how are you?
 [Persuader] I'm good. Thanks for asking. Have you heard of the organization Save the Children?
 [Persuadee] no, i have not heard of it.
 [Persuader] Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
 [Persuadee] That is interesting. In what continents do you operate?
 [Persuader] They are a global organization. They help children from the US to Syria. 
 [Persuadee] I see. Are you a part of the organization?
 [Persuader] I am helping get donations for Save the Children. Would you be interested in donating anywhere from as little as $0.01 to $2.00? Everything adds up and every little bit helps!
 [Persuadee] how do i donate?
 [Persuader] Just tell me how much you would like to donate, and then at the end of this survey they will ask again how much you would like to donate.
 [Persuadee] I would like to donate a dollar.
 [Persuader] Wow, you are so generous! Do you have children yourself?
 [Persuadee] i don't have any.
 [Persuader] How did you come to the conclusion that you would like to donate? Here is some more information on what your donations go to: Nearly 5.6 million children die each year due to preventable and treatable causes. Malnutrition contributes to the deaths of children and a lifetime of poor health. We are committed to providing health and nutrition programs that save children's lives and ensure they grow up healthy.
 [Persuadee] I just thought that by donating i could help in my little way.
 [Persuader] Yes, believe me I see a lot of people want to do something to help but will not actually donate. Thank you so much for your contribution!
 [Persuadee] you're welcome. 
 [Persuader] One last question. If you were asked to sponsor a child, do you think you would be interested?
 [Persuadee] i'm sorry, i'm not interested. i don't have money to sponsor a child",yes
2164,20180831-175558_427_live,"[Persuader] happy friday! do you have any fun plans this weekend?
 [Persuadee] Happy Friday to you too :) No I do not have any plans, just having a relaxing Friday. How about you?
 [Persuader] I went to the movie theater earlier and now I am just watching tv while it rains outside. I am volunteering tomorrow morning.
 [Persuadee] That sounds like fun, What movie did you watch? I haven't been to a movie theater in years!
 [Persuader] I saw crazy rich Asians. it was pretty good. It was based on a book. I have to heard to bed early for volunteering tomorrow morning. Do you ever volunteer?
 [Persuadee] I have heard of that movie, and even seen the trailer. I have volunteered in the past but I have been thinking of doing that again. 
 [Persuader] I am active in Save the Children. Have you heard of it?
 [Persuadee] No I haven't, tell me more about it!
 [Persuader] It is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
 [Persuadee] That is amazing! I will have to check it out sometime. 
 [Persuader] I am fdoing a 5k tomorrow with all proceeds going to the Children.
 [Persuadee] That is great, and it such a good cause for the Children. 
 [Persuader] It is really rewarding to know you are making a difference. That would be generous of you to donate. You can have it deducted from your HIT.
 [Persuadee] I think I would love to donate, it would make me feel great to make some kind of difference.
 [Persuader] Every penny counts! and for people that can't donate money they can donate their time. 
 [Persuadee] That is true, everyone can make a difference. I would love to donate because I hope someone would do the same for me. 
 [Persuader] great point! 
 [Persuadee] Yes it sure is. :)
 [Persuader] have a great weekend! Thanks again for your donation!
 [Persuadee] You have a great weekend too, and you're welcome. :)",yes
2184,20180828-190442_503_live,"[Persuader] How are you?
 [Persuadee] Very well, how are you doing?
 [Persuader] Im fine, have you heard about Save the Children charity?
 [Persuadee] I don't know anything about that, is it like Make A Wish?
 [Persuader] Sort of, Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
 [Persuadee] That sounds very worthwhile. Does it help any children in the United States also?
 [Persuader] Mostly developing countries where the help is needed most, would you like to donate part of your reward for this task?
 [Persuadee] I would like to learn more about this charity before I commit to a donation. I also would be interested in a charity that assists children in the United States also, There is a great need here too
 [Persuader] Thats great but I only can speak on Save the Children, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. That's why it's important to help these children that can use your help.
 [Persuadee] I understand. It sounds like a very worthwhile cause and one that is desperately needed in that country. How do the funds reach the children?
 [Persuader] The research team will collect all donations and send it to Save the Children.
 [Persuadee] I see. And then how does it actually get implemented? 
 [Persuader] Save the Children donations is essential to help ensuring children's rights to health, education, safety, etc
 [Persuadee] Right I get that, but how does the money actually get to the children themselves. Does it go to the parents and the parents use it to take care of children?
 [Persuader] No it doesn't work that way, like I said on the last message the money goes into ensuring the rights to health, education, safety etc. It does go directly into their pockets, it goes into advancing their life. How much would you like to donate?
 [Persuadee] I am not sure I am ready to donate at this time. Can you tell me what percentage of the donated money goes to administrative costs
 [Persuader] 0 it all goes to the charity 100%, would you like to donate and help a child get an opportunity to have a better life?
 [Persuadee] So all the people that run that charity are all volunteers?
 [Persuader] You got it. Donate yes or no?
 [Persuadee] I don't think I will be donating at this time but possibly in the near future. Thank you for all your thoughtful answers",no
2204,20180828-200947_596_live,"[Persuader] Hello!
 [Persuadee] Hello
 [Persuader] Have you ever heard of the Save the Children organization?
 [Persuadee] Not sure, don't recall hearing about that at the moment
 [Persuader] It's an international non-governmental organization that promotes children's rights, provides relief, and helps support children in developing countries
 [Persuadee] OK, sounds noble
 [Persuader] Yeah, they do incredible work. Children in developing nations die from hunger and disease every day. They use their funding to help change that
 [Persuadee] And there aren't other organizations doing the same?
 [Persuader] I'm sure there are, but Save the Children has high rankings for their good work and charity. You can see information about it on their website: URL s/about-us/awards-and-rankings
 [Persuadee] So what is done with the moeny they get?
 [Persuader] The money goes right towards helping children! For instance, they've been helping children in Syria who are growing up facing the violence there.
 [Persuadee] And the money doesn't mysteriously disappear at the borders between nations?
 [Persuader] As I mentioned, they are a highly ranked charity. Charity Navigator gives them 3 of 4 stars based on their efficiency and capacity.
 [Persuadee] But there are higher ranked charities, such as Christian Relief Fund
 [Persuader] Save the Children isn't a religious organization, it has no agenda except to help children around the world. 
 [Persuadee] Perhaps, though I don't recall a case of religion inhibiting what Christian Relief Fund does.
 [Persuader] In any case, I'm sure you can agree that saving children around the world is a worthy cause. A much more meaningful way to use your spare change than buying a coffee or a bag of chips from the vending machine. Small donations make a huge impact on the children and their families.
 [Persuadee] True, much more worthy then Starbucks
 [Persuader] So, how much would you be willing to donate to this charity now? You can choose any amount up to $2
 [Persuadee] Regrettably I can't give anything, but I have given to others recently.",no
2224,20180828-151312_220_live,"[Persuader] Hello how are you
 [Persuadee] Hello. Fine, thanks. You?
 [Persuader] I am doing well thank you! Are you thinking of donating?
 [Persuadee] Yes I am
 [Persuader] That is great! First, can I ask why you would like to donate?
 [Persuadee] Seems like the right thing to do
 [Persuader] That is great! How much would you like to donate to the charity now?
 [Persuadee] I would like to donate $2
 [Persuader] That is amazing! Thank you so much for your donation!
 [Persuadee] Glad to help
 [Persuader] Would you like to hear where your donation is going?
 [Persuadee] Yes I would
 [Persuader] Your donation will go to help childhood cancer research. It will directly benefit pediatric research.
 [Persuadee] Wonderful. Great use of a donation.
 [Persuader] Would you feel conflicted if animals were involved in the research?
 [Persuadee] As a cancer survivor, no I would not.
 [Persuader] Glad to hear that! Also, glad to hear you were able to fight the good fight!
 [Persuadee] Thank you. It's an important cause for me.
 [Persuader] Thank you so much for your donation!
 [Persuadee] No problem. Glad to help.",yes
2244,20180828-221141_79_live,"[Persuader] Hi, are you interest in making a donation called, Save the Children?
 [Persuadee] I don't know, what's it about?
 [Persuader] Save the children is a charity for homeless children and food for these children.
 [Persuadee] That seems like a good cause.
 [Persuader] Have you ever heard of Save the Children from friends or family.
 [Persuadee] The name sounds familiar, but I'm not sure where I heard of it.
 [Persuader] You can donate any amount you like as much as $2.00.
 [Persuadee] Is it international? Does it help children all around the world?
 [Persuader] Yes, you can donate to any child around the world, one child or a group of children.
 [Persuadee] Do you know what percentage of donations goes to overhead and what percentage directly goes to the child/children?
 [Persuader] As far as i understand the entire amount goes to that cause.
 [Persuadee] But there has to be some overhead. Is it paid for by grants rather than donations?
 [Persuader] no your donation will be directly deducted from your task payment any amount from $0.00 to $2.00. 
 [Persuadee] Yes, I understand that, thanks. 
 [Persuader] I have been donating a little more than two years.
 [Persuadee] That's a good testimonial. But I don't have much money right now. 
 [Persuader] How does .25 sounds to you? less than a newspaper or a cup of coffee?
 [Persuadee] I disagree with your coffee price estimate. How about I donate 1 penny.
 [Persuader] That sounds good. Thank you very much, every little is a help.
 [Persuadee] You're welcome, and thank you for your time.",yes
