turn_id,dialogue_id,annotator,has_logical_appeal,has_evidence_and_statistics,has_cost_benefit_framing,has_feasibility_and_ease,has_emotion_appeal,has_guilt_induction,has_empathy_and_perspective_taking,has_hope_and_positive_impact,has_organizational_credibility,has_transparency_and_accountability,has_source_citation,has_personal_credibility,has_social_proof,has_self_modeling,has_in_group_appeal,has_authority_endorsement,has_reciprocity,has_donor_benefit,has_gratitude_and_appreciation,has_foot_in_the_door,has_door_in_the_face,has_value_consistency_appeal,has_incremental_ask,has_anchoring,has_minimization_framing,has_loss_versus_gain_framing,has_comparison_framing,has_urgency_appeal,has_scarcity_appeal,has_deadline_pressure,has_negative_consequence_warning,has_persistent_repetition,has_obligation_pressure,has_donation_procedure_information,has_organization_information,has_impact_information,has_task_clarification,has_personal_story,has_personal_related_inquiry,has_source_related_inquiry,has_rapport_building,cat_Rational_Appeal,cat_Emotional_Appeal,cat_Credibility_Appeal,cat_Social_Influence,cat_Reciprocity_and_Exchange,cat_Commitment_and_Consistency,cat_Framing_and_Presentation,cat_Urgency_and_Scarcity,cat_Threat_and_Pressure,cat_Information_Provision,cat_Relational_and_Interactive
20180831-063536_532_live#t000,20180831-063536_532_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180831-063536_532_live#t002,20180831-063536_532_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20180831-063536_532_live#t004,20180831-063536_532_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20180831-063536_532_live#t006,20180831-063536_532_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20180831-063536_532_live#t008,20180831-063536_532_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20180831-063536_532_live#t010,20180831-063536_532_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20180831-063536_532_live#t012,20180831-063536_532_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
20180831-063536_532_live#t014,20180831-063536_532_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20180831-063536_532_live#t016,20180831-063536_532_live,shimanto,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20180831-063536_532_live#t018,20180831-063536_532_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20180831-081945_112_live#t000,20180831-081945_112_live,shimanto,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20180831-081945_112_live#t002,20180831-081945_112_live,shimanto,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
20180831-081945_112_live#t004,20180831-081945_112_live,shimanto,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
20180831-081945_112_live#t006,20180831-081945_112_live,shimanto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20180831-081945_112_live#t008,20180831-081945_112_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20180831-081945_112_live#t010,20180831-081945_112_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
20180831-081945_112_live#t012,20180831-081945_112_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
20180831-081945_112_live#t014,20180831-081945_112_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20180831-081945_112_live#t016,20180831-081945_112_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20180831-081945_112_live#t018,20180831-081945_112_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20180831-211050_995_live#t000,20180831-211050_995_live,shimanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
